%prun bulk_NN()

         105169 function calls (101140 primitive calls) in 0.083 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.002    0.000 custom_gradient.py:45(copy_handle_data)
      202    0.000    0.000    0.000    0.000 python_message.py:864(HasField)
      995    0.000    0.000    0.000    0.000 {built-in method _weakref.proxy}
      530    0.000    0.000    0.000    0.000 ops.py:5557(get_default)
  276/147    0.000    0.000    0.002    0.000 encoder.py:307(FieldSize)
      486    0.000    0.000    0.000    0.000 object_identity.py:128(_wrap_key)
      374    0.000    0.000    0.000    0.000 compat.py:114(as_str)
      238    0.000    0.000    0.000    0.000 encoder.py:246(FieldSize)
      404    0.000    0.000    0.001    0.000 dtypes.py:84(base_dtype)
       64    0.000    0.000    0.001    0.000 ops.py:359(__init__)
       57    0.000    0.000    0.001    0.000 functools.py:34(update_wrapper)
     1355    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       64    0.000    0.000    0.000    0.000 ops.py:6880(_reconstruct_sequence_inputs)
       10    0.000    0.000    0.001    0.000 node.py:54(__init__)
       57    0.000    0.000    0.001    0.000 func_graph.py:362(as_default)
      136    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      192    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationOpType}
      128    0.000    0.000    0.002    0.000 python_message.py:1104(SerializePartialToString)
       73    0.000    0.000    0.001    0.000 op_def_library.py:53(_SatisfiesTypeConstraint)
      839    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      354    0.000    0.000    0.000    0.000 python_message.py:1467(_UpdateOneofState)
       59    0.000    0.000    0.000    0.000 tf_decorator.py:67(make_decorator)
       20    0.000    0.000    0.018    0.001 base.py:691(_add_variable_with_custom_getter)
      105    0.000    0.000    0.000    0.000 containers.py:405(extend)
      172    0.000    0.000    0.000    0.000 containers.py:358(__init__)
       77    0.000    0.000    0.000    0.000 inspect.py:2772(__init__)
       63    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_AddInput}
      552    0.000    0.000    0.000    0.000 python_message.py:578(_GetFieldByName)
       41    0.000    0.000    0.001    0.000 base.py:800(_track_trackable)
      180    0.000    0.000    0.001    0.000 {built-in method builtins.all}
       49    0.000    0.000    0.001    0.000 nest.py:573(map_structure)
  138/136    0.000    0.000    0.000    0.000 data_structures.py:80(wrap_or_unwrap)
       18    0.000    0.000    0.009    0.001 graph_only_ops.py:29(graph_placeholder)
       64    0.000    0.000    0.000    0.000 lock_util.py:96(release)
