model = bulk_NN()
%prun predict(model,x_tst)

         147915 function calls (143274 primitive calls) in 0.181 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       32    0.000    0.000    0.138    0.004 def_function.py:757(__call__)
      611    0.000    0.000    0.001    0.000 contextlib.py:238(helper)
  447/213    0.000    0.000    0.003    0.000 encoder.py:307(FieldSize)
     1598    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      358    0.000    0.000    0.000    0.000 encoder.py:246(FieldSize)
       32    0.000    0.000    0.075    0.002 function.py:1850(_call_flat)
       35    0.000    0.000    0.001    0.000 function.py:2977(_cache_key)
      281    0.000    0.000    0.000    0.000 python_message.py:864(HasField)
       77    0.000    0.000    0.001    0.000 tf_decorator.py:67(make_decorator)
       94    0.000    0.000    0.001    0.000 ops.py:359(__init__)
     1668    0.000    0.000    0.000    0.000 {method 'tobytes' of 'memoryview' objects}
      381    0.000    0.000    0.000    0.000 context.py:1851(executing_eagerly)
     1207    0.000    0.000    0.000    0.000 python_message.py:1416(_SetListener)
        1    0.000    0.000    0.180    0.180 training.py:1486(predict)
       95    0.000    0.000    0.000    0.000 ops.py:6880(_reconstruct_sequence_inputs)
     2479    0.000    0.000    0.000    0.000 {built-in method _operator.getitem}
  328/317    0.000    0.000    0.004    0.000 message.py:117(CopyFrom)
      196    0.000    0.000    0.003    0.000 python_message.py:1104(SerializePartialToString)
  236/206    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      751    0.000    0.000    0.000    0.000 compat.py:90(as_text)
  172/150    0.000    0.000    0.001    0.000 containers.py:405(extend)
    49/33    0.000    0.000    0.010    0.000 decoder.py:722(DecodeRepeatedField)
     1507    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      682    0.000    0.000    0.000    0.000 ops.py:5557(get_default)
       11    0.000    0.000    0.001    0.000 tensor_util.py:360(make_tensor_proto)
     1081    0.000    0.000    0.000    0.000 descriptor.py:158(GetOptions)
      585    0.000    0.000    0.000    0.000 python_message.py:757(getter)
      160    0.000    0.000    0.001    0.000 containers.py:376(add)
      269    0.000    0.000    0.000    0.000 containers.py:358(__init__)
      184    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        4    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_ContextAddFunction}
       25    0.000    0.000    0.012    0.000 graph_only_ops.py:29(graph_placeholder)
      108    0.000    0.000    0.001    0.000 op_def_library.py:53(_SatisfiesTypeConstraint)
       96    0.000    0.000    0.001    0.000 ops.py:2312(inputs)
       95    0.000    0.000    0.001    0.000 lock_util.py:96(release)
       19    0.000    0.000    0.002    0.000 custom_gradient.py:45(copy_handle_data)
       68    0.000    0.000    0.000    0.000 functools.py:34(update_wrapper)
       86    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_AddInput}
      196    0.000    0.000    0.004    0.000 python_message.py:1091(SerializeToString)
       35    0.000    0.000    0.091    0.003 function.py:3147(_maybe_define_function)
      189    0.000    0.000    0.000    0.000 python_message.py:1541(Modified)
      269    0.000    0.000    0.000    0.000 python_message.py:447(MakeRepeatedMessageDefault)
